id,streetAddress,city,county,price,yearBuilt,buildingArea,homeType,levels,Cluster
92408-17364086,1405 E Davidson St,San Bernardino,San Bernardino County,0.0050526315789473685,0.19471947194719472,0.00026022609652799015,0.75,0.25,4
90405-20471700,2339 34th St UNIT 39,Santa Monica,Los Angeles County,0.009884210526315789,0.19821982198219823,0.0,0.5,0.5,4
90405-20482563,2547 3rd St,Santa Monica,Los Angeles County,0.036840926315789474,0.19041904190419043,0.0003491753050952336,0.75,0.25,4
92064-52513029,13663 Sycamore Tree Ln,Poway,San Diego County,0.007368421052631579,0.19851985198519853,0.0,1.0,0.5,4
90405-82883285,212 Marine St UNIT 306,Santa Monica,Los Angeles County,0.01994736842105263,0.20062006200620064,0.0,0.5,0.25,4
94804-18547697,428 S 9th St,Richmond,Contra Costa County,0.010505263157894736,0.19601960196019602,0.00039442242111579166,0.75,0.5,4
94801-2075862635,39 Waterline Pl,Richmond,Contra Costa County,0.009947368421052632,0.20182018201820182,0.0,0.5,0.5,4
94804-2069912126,189 Schooner Ct #189,Richmond,Contra Costa County,0.0043052631578947365,0.19861986198619863,8.078265591963053e-05,0.5,0.25,4
91901-69223358,1434 Marshall Rd UNIT 3,Alpine,San Diego County,0.0036789473684210525,0.19951995199519953,0.0,0.5,0.5,4
92064-16738323,13416 Port Marnock Way,Poway,San Diego County,0.006315263157894737,0.19741974197419743,0.0,0.5,0.25,4
92122-52514036,6003 Erlanger St,San Diego,San Diego County,0.009147368421052631,0.19621962196219622,0.0,1.0,0.25,4
91901-295348301,4137 Alpine Blvd,Alpine,San Diego County,0.018421052631578946,0.1937193719371937,0.0,0.75,0.25,4
94134-331619778,329-331 Woolsey St,San Francisco,San Francisco County,0.015778947368421052,0.19661966196619662,0.0002894711837120094,0.75,0.5,4
90029-250337651,4437 Willow Brook Ave,Los Angeles,Los Angeles County,0.028421052631578948,0.19241924192419244,0.0,0.75,0.5,4
90029-2089271303,1149 N Westmoreland Ave,Los Angeles,Los Angeles County,0.0431578947368421,0.19581958195819582,0.0,0.75,0.5,4
90621-51675061,15 Westshore Way,Buena Park,Orange County,0.006157894736842105,0.19991999199919994,0.0,0.5,0.75,4
92833-25740888,1935 W Houston Ave APT 27,Fullerton,Orange County,0.0044736842105263155,0.19831983198319833,0.0,0.5,0.25,4
92805-25749798,963 S Citron St #2,Anaheim,Orange County,0.0,0.19801980198019803,0.0,0.5,0.25,4
91792-21684468,2727 Calle Colima,West Covina,Los Angeles County,0.005157894736842105,0.19791979197919793,0.0,0.5,0.25,4
92801-25665331,1950 W Glenoaks Ave APT B,Anaheim,Orange County,2.1578947368421053e-05,0.19641964196419642,0.0,0.5,0.25,4
92833-2080956784,1819 W Houston Ave,Fullerton,Orange County,0.051421052631578944,0.19901990199019903,0.0012086497918467126,0.75,0.5,4
90603-68995011,16040 Leffingwell Rd UNIT 47,Whittier,Los Angeles County,0.0015789473684210526,0.19691969196919692,0.0,0.5,0.5,4
94599-19404906,1990 Yountville Cross Rd,Yountville,Napa County,0.0102,0.19821982198219823,0.00018165061699960635,0.5,0.5,4
91105-20858342,211 S Orange Grove Blvd APT 4,Pasadena,Los Angeles County,0.013473684210526317,0.19751975197519753,0.0,1.0,0.5,4
90631-25694387,901 Citrus Dr UNIT 12A,La Habra,Orange County,0.004629473684210526,0.19731973197319733,0.0,0.5,0.25,4
90631-325861253,155 Gwen Ln,La Habra,Orange County,0.0,0.20192019201920192,0.0,1.0,0.75,4
90631-25358523,1402 Devonshire Ln,La Habra,Orange County,0.004842105263157895,0.19761976197619763,0.0,1.0,0.25,4
91945-17010332,8146 Lemon Grove Way APT B,Lemon Grove,San Diego County,0.002105263157894737,0.19811981198119813,0.0,0.5,0.5,4
91941-2102093803,4582 Acacia Ave,La Mesa,San Diego County,0.013157894736842105,0.19531953195319532,0.0003460852581474882,0.75,0.5,4
92057-16589529,5656 Tumbleweed Way,Oceanside,San Diego County,0.005252631578947368,0.19861986198619863,0.0,1.0,0.5,4
91942-17000529,4512 Parks Ave UNIT 4,La Mesa,San Diego County,0.0034210526315789475,0.19721972197219723,0.0,0.5,0.25,4
92805-246150707,435 W Center Street Promenade UNIT 332,Anaheim,Orange County,0.006315778947368421,0.20082008200820084,0.0,0.5,0.75,4
90032-20689843,4465 Tourmaline St,Los Angeles,Los Angeles County,0.009884210526315789,0.19021902190219023,0.0003224684707611481,0.75,0.25,4
91342-20069067,14333 Tyler St UNIT 34,Sylmar,Los Angeles County,0.005568421052631579,0.19871987198719873,0.0,1.0,0.5,4
90032-135565330,3349 N Eastern Ave,Los Angeles,Los Angeles County,0.00831578947368421,0.1939193919391939,0.00030878397713541834,0.75,0.5,4
90621-2074490817,6601 Kingman Ave,Buena Park,Orange County,0.009998947368421053,0.19501950195019502,0.0002096817571684399,0.75,0.25,4
90029-20791258,1130 N Mariposa Ave,Los Angeles,Los Angeles County,0.012621052631578948,0.19231923192319234,0.0002582396377758681,0.75,0.25,4
90621-25147423,5470 Cajon Ave,Buena Park,Orange County,0.006242105263157894,0.19731973197319733,0.0,0.5,0.5,4
90029-250337562,943 N Oxford Ave,Los Angeles,Los Angeles County,0.10397894736842105,0.20212021202120212,0.002622456629259809,0.75,0.75,4
90029-135727227,4917 Melrose Ave,Los Angeles,Los Angeles County,0.022105263157894735,0.19131913191319133,0.00031010828297016636,0.75,0.5,4
90029-2069966710,1255 Lyman Pl,Los Angeles,Los Angeles County,0.05263157894736842,0.19531953195319532,0.0005608435210157956,0.75,0.5,4
90621-250351784,5839 Rostrata Ave,Buena Park,Orange County,0.0,0.20182018201820182,0.0,0.5,0.75,4
92078-60166818,1167 Westin Way,San Marcos,San Diego County,0.007367368421052631,0.20032003200320034,0.0,0.5,0.5,4
92833-25347964,2604 Monterey Pl,Fullerton,Orange County,0.007568421052631579,0.19731973197319733,0.0,1.0,0.5,4
94609-89030717,730 29th St APT 209,Oakland,Alameda County,0.0051263157894736846,0.19311931193119314,7.80236854305721e-05,0.5,1.0,4
90755-21198372,2296 Gaviota Ave UNIT 22,Signal Hill,Los Angeles County,0.003473684210526316,0.19801980198019803,0.0,0.5,0.25,4
